<DATE>,<TIME>,Open,High,Low,Close,Volume
20120806,130000,646.9989000,648.9998000,645.7400000,648.5080000,116716
20120806,140000,648.7300000,648.7580000,645.8000000,646.0900000,83933
20120806,150000,646.1450000,647.5000000,642.6200000,645.1800000,351327
20120806,160000,645.1900000,645.5300000,642.6200000,642.6900000,310704
20120807,100000,642.0200000,643.8300000,638.0100000,639.0000000,441694
20120807,110000,638.7400000,639.6800000,636.4700000,637.6900000,449797
20120807,120000,637.6900000,641.9390000,636.6000000,640.8700000,220970
20120807,130000,640.8750000,644.2600000,640.5801000,643.3200000,192810
20120807,140000,643.3800000,643.6753000,641.8400000,642.6900000,119223
20120807,150000,642.6800000,643.1200000,641.7200000,641.7800000,101329
20120807,160000,641.7100000,642.5400000,639.7500000,640.3000000,361779
20120808,100000,639.0500000,644.8900000,638.5000000,644.6200000,239576
20120808,110000,644.6000000,645.8700000,641.6200000,643.7100000,240403
20120808,120000,643.5900000,645.5900000,643.0020000,644.2600000,205849
20120808,130000,644.2500000,644.8040000,642.2600000,642.7800000,85722
20120808,140000,642.7500000,643.7500000,641.8100000,641.8200000,113964
20120808,150000,641.9300000,643.6400000,641.6200000,642.2300000,137658
20120808,160000,642.2400000,643.4700000,641.3800000,641.9000000,188066
20120809,100000,644.5100000,646.3700000,642.1400000,642.2900000,182719
20120809,110000,642.1100000,645.0200000,641.8700000,644.2400000,224720
20120809,120000,644.3000000,644.5900000,641.6000000,643.4900000,170614
20120809,130000,643.6300000,644.1400000,642.0200000,643.9400000,126132
20120809,140000,643.8800000,644.0000000,642.9300000,643.2900000,61577
20120809,150000,643.3300000,643.5000000,642.4420000,642.5600000,61325
20120809,160000,642.5900000,642.8800000,641.5202000,642.3500000,187355
20120810,100000,638.3500000,639.9980000,638.0000000,638.2000000,179829
20120810,110000,638.0300000,640.9580000,637.5600000,637.6700000,353208
20120810,120000,637.7300000,637.7400000,636.1300000,637.2700000,186397
20120810,130000,637.2800000,638.1000000,636.9100000,638.0900000,72496
20120810,140000,638.0900000,639.5000000,637.6900000,639.2300000,112499
20120810,150000,639.1300000,640.8000000,638.8700000,640.2800000,121117
20120810,160000,640.3300000,642.2400000,640.0500000,642.0000000,335788
20120813,100000,647.0500000,651.5800000,646.6800000,648.9500000,796972
20120813,110000,648.9900000,651.0000000,648.1500000,650.3900000,500678
20120813,120000,650.1600000,653.8300000,649.3400000,653.8200000,331981
20120813,130000,653.7200000,655.2500000,653.0000000,655.1700000,282764
20120813,140000,655.2200000,657.7100000,654.7500000,656.9500000,337866
20120813,150000,657.0700000,659.5000000,656.6000000,658.9700000,329174
20120813,160000,659.0180000,660.1500000,657.7300000,660.1500000,549583
20120814,100000,659.2500000,667.1900000,659.0000000,667.1900000,602802
20120814,110000,667.2000000,672.7300000,667.1900000,671.3260000,948537
20120814,120000,671.6000000,672.8500000,670.4200000,670.6500000,438102
20120814,130000,670.6500000,671.0000000,666.5501000,668.1300000,467990
20120814,140000,668.1900000,671.0000000,667.6900000,670.3300000,287195
20120814,150000,670.4900000,670.9500000,666.8900000,670.5500000,257932
20120814,160000,670.5500000,671.0000000,667.1820000,668.8700000,524155
20120815,100000,670.7000000,674.2500000,668.9400000,669.4800000,606262
20120815,110000,669.7598000,671.6700000,666.6500000,669.3900000,551740
20120815,120000,669.2000000,670.9200000,668.2900000,668.8050000,227574
20120815,130000,668.8200000,669.3400000,667.1240000,667.4300000,112857
20120815,140000,667.3700000,667.5390000,664.1000000,664.5400000,320534
20120815,150000,664.5400000,667.5100000,664.5100000,667.4800000,201118
20120815,160000,667.6000000,668.3200000,666.6600000,667.3600000,276351
20120816,100000,667.5100000,671.3800000,667.0800000,670.9300000,255002
20120816,110000,670.8500000,670.9300000,668.6950000,669.1900000,296879
20120816,120000,669.3200000,671.4130000,668.6400000,671.0600000,184190
20120816,130000,671.1400000,671.2400000,670.2500000,671.1400000,131998
20120816,140000,671.0000000,671.2500000,670.1700000,670.7300000,121064
20120816,150000,670.7900000,674.6400000,670.7900000,674.0500000,295234
20120816,160000,674.0300000,674.6000000,672.4100000,672.8300000,333381
20120817,100000,674.1200000,675.0000000,672.5700000,674.8600000,518339
20120817,110000,674.9500000,675.0000000,671.7000000,672.8200000,389305
20120817,120000,672.7100000,674.7100000,672.2200000,674.6600000,204812
20120817,130000,674.5800000,676.4200000,674.4600000,676.1500000,328767
20120817,140000,676.0300000,676.6500000,675.0400000,675.7000000,134653
20120817,150000,675.7000000,676.0300000,674.9238000,675.5900000,105095
20120817,160000,675.7500000,677.2500000,674.9100000,677.0900000,346092
20120820,100000,675.5000000,677.5899000,673.0500000,674.2500000,382893
20120820,110000,674.1500000,676.2600000,672.6600000,674.6300000,314934
20120820,120000,674.4602000,676.7700000,673.7700000,676.5300000,191177
20120820,130000,676.6200000,678.8700000,675.4800000,676.8400000,225758
20120820,140000,676.8500000,677.2400000,676.1900000,676.5500000,128138
20120820,150000,676.5500000,678.3100000,676.2800000,677.8700000,133273
20120820,160000,677.9000000,677.9900000,675.0000000,675.8000000,259599
20120821,100000,673.1100000,678.0000000,672.9800000,676.4800000,379826
20120821,110000,676.7000000,677.8500000,673.3120000,673.6725000,283639
20120821,120000,673.9000000,674.9500000,668.4500000,668.7600000,405004
20120821,130000,668.7600000,669.9800000,665.2300000,665.7500000,231120
20120821,140000,665.8780000,666.4200000,662.1680000,664.4500000,224555
20120821,150000,664.5800000,667.9100000,664.5800000,667.1100000,193856
20120821,160000,667.0600000,669.9400000,665.6500000,669.5100000,359472
20120822,100000,667.5000000,674.9000000,666.6980000,674.3800000,295056
20120822,110000,674.2000000,674.5280000,672.0250000,672.7100000,233875
20120822,120000,672.7100000,676.0000000,672.4300000,675.9500000,161525
20120822,130000,675.9500000,676.5700000,673.5700000,674.0900000,155420
20120822,140000,674.0500000,676.0300000,673.7800000,675.3580000,121093
20120822,150000,675.3500000,679.4000000,675.3450000,679.0300000,341458
20120822,160000,679.0100000,680.6000000,677.0000000,677.2900000,484911
20120823,100000,674.2700000,676.6790000,672.0100000,673.8380000,264833
20120823,110000,673.6900000,676.0000000,671.0000000,674.7200000,326936
20120823,120000,675.0500000,677.9700000,674.6800000,676.9800000,154439
